ICD_CODE,DESCRIPTION
021P48A,"Bypass Pulmonary Trunk from Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021P48B,"Bypass Pulmonary Trunk from Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021P48D,"Bypass Pulmonary Trunk from Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021P49A,"Bypass Pulmonary Trunk from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021P49B,"Bypass Pulmonary Trunk from Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021P49D,"Bypass Pulmonary Trunk from Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021P4AA,"Bypass Pulmonary Trunk from Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021P4AB,"Bypass Pulmonary Trunk from Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021P4AD,"Bypass Pulmonary Trunk from Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021P4JA,"Bypass Pulmonary Trunk from Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021P4JB,"Bypass Pulmonary Trunk from Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach"
021P4JD,"Bypass Pulmonary Trunk from Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach"
021P4KA,"Bypass Pulmonary Trunk from Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021P4KB,"Bypass Pulmonary Trunk from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021P4KD,"Bypass Pulmonary Trunk from Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021P4ZA,"Bypass Pulmonary Trunk from Innominate Artery with No Device, Percutaneous Endoscopic Approach"
021P4ZB,"Bypass Pulmonary Trunk from Subclavian with No Device, Percutaneous Endoscopic Approach"
021P4ZD,"Bypass Pulmonary Trunk from Carotid with No Device, Percutaneous Endoscopic Approach"
021Q08A,"Bypass Right Pulmonary Artery from Innominate Artery with Zooplastic Tissue, Open Approach"
021Q08B,"Bypass Right Pulmonary Artery from Subclavian with Zooplastic Tissue, Open Approach"
021Q08D,"Bypass Right Pulmonary Artery from Carotid with Zooplastic Tissue, Open Approach"
021Q09A,"Bypass Right Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Open Approach"
021Q09B,"Bypass Right Pulmonary Artery from Subclavian with Autologous Venous Tissue, Open Approach"
021Q09D,"Bypass Right Pulmonary Artery from Carotid with Autologous Venous Tissue, Open Approach"
021Q0AA,"Bypass Right Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Open Approach"
021Q0AB,"Bypass Right Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Open Approach"
021Q0AD,"Bypass Right Pulmonary Artery from Carotid with Autologous Arterial Tissue, Open Approach"
021Q0JA,"Bypass Right Pulmonary Artery from Innominate Artery with Synthetic Substitute, Open Approach"
021Q0JB,"Bypass Right Pulmonary Artery from Subclavian with Synthetic Substitute, Open Approach"
021Q0JD,"Bypass Right Pulmonary Artery from Carotid with Synthetic Substitute, Open Approach"
021Q0KA,"Bypass Right Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Open Approach"
021Q0KB,"Bypass Right Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Open Approach"
021Q0KD,"Bypass Right Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Open Approach"
021Q0ZA,"Bypass Right Pulmonary Artery from Innominate Artery with No Device, Open Approach"
021Q0ZB,"Bypass Right Pulmonary Artery from Subclavian with No Device, Open Approach"
021Q0ZD,"Bypass Right Pulmonary Artery from Carotid with No Device, Open Approach"
021Q48A,"Bypass Right Pulmonary Artery from Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021Q48B,"Bypass Right Pulmonary Artery from Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021Q48D,"Bypass Right Pulmonary Artery from Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021Q49A,"Bypass Right Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021Q49B,"Bypass Right Pulmonary Artery from Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021Q49D,"Bypass Right Pulmonary Artery from Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021Q4AA,"Bypass Right Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021Q4AB,"Bypass Right Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021Q4AD,"Bypass Right Pulmonary Artery from Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021Q4JA,"Bypass Right Pulmonary Artery from Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021Q4JB,"Bypass Right Pulmonary Artery from Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach"
021Q4JD,"Bypass Right Pulmonary Artery from Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach"
021Q4KA,"Bypass Right Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021Q4KB,"Bypass Right Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021Q4KD,"Bypass Right Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021Q4ZA,"Bypass Right Pulmonary Artery from Innominate Artery with No Device, Percutaneous Endoscopic Approach"
021Q4ZB,"Bypass Right Pulmonary Artery from Subclavian with No Device, Percutaneous Endoscopic Approach"
021Q4ZD,"Bypass Right Pulmonary Artery from Carotid with No Device, Percutaneous Endoscopic Approach"
021R08A,"Bypass Left Pulmonary Artery from Innominate Artery with Zooplastic Tissue, Open Approach"
021R08B,"Bypass Left Pulmonary Artery from Subclavian with Zooplastic Tissue, Open Approach"
021R08D,"Bypass Left Pulmonary Artery from Carotid with Zooplastic Tissue, Open Approach"
021R09A,"Bypass Left Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Open Approach"
021R09B,"Bypass Left Pulmonary Artery from Subclavian with Autologous Venous Tissue, Open Approach"
021R09D,"Bypass Left Pulmonary Artery from Carotid with Autologous Venous Tissue, Open Approach"
021R0AA,"Bypass Left Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Open Approach"
021R0AB,"Bypass Left Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Open Approach"
021R0AD,"Bypass Left Pulmonary Artery from Carotid with Autologous Arterial Tissue, Open Approach"
021R0JA,"Bypass Left Pulmonary Artery from Innominate Artery with Synthetic Substitute, Open Approach"
021R0JB,"Bypass Left Pulmonary Artery from Subclavian with Synthetic Substitute, Open Approach"
021R0JD,"Bypass Left Pulmonary Artery from Carotid with Synthetic Substitute, Open Approach"
021R0KA,"Bypass Left Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Open Approach"
021R0KB,"Bypass Left Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Open Approach"
021R0KD,"Bypass Left Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Open Approach"
021R0ZA,"Bypass Left Pulmonary Artery from Innominate Artery with No Device, Open Approach"
021R0ZB,"Bypass Left Pulmonary Artery from Subclavian with No Device, Open Approach"
021R0ZD,"Bypass Left Pulmonary Artery from Carotid with No Device, Open Approach"
021R48A,"Bypass Left Pulmonary Artery from Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021R48B,"Bypass Left Pulmonary Artery from Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021R48D,"Bypass Left Pulmonary Artery from Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021R49A,"Bypass Left Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021R49B,"Bypass Left Pulmonary Artery from Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021R49D,"Bypass Left Pulmonary Artery from Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021R4AA,"Bypass Left Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021R4AB,"Bypass Left Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021R4AD,"Bypass Left Pulmonary Artery from Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021R4JA,"Bypass Left Pulmonary Artery from Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021R4JB,"Bypass Left Pulmonary Artery from Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach"
021R4JD,"Bypass Left Pulmonary Artery from Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach"
021R4KA,"Bypass Left Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021R4KB,"Bypass Left Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021R4KD,"Bypass Left Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021R4ZA,"Bypass Left Pulmonary Artery from Innominate Artery with No Device, Percutaneous Endoscopic Approach"
021R4ZB,"Bypass Left Pulmonary Artery from Subclavian with No Device, Percutaneous Endoscopic Approach"
021R4ZD,"Bypass Left Pulmonary Artery from Carotid with No Device, Percutaneous Endoscopic Approach"
021V08P,"Bypass Superior Vena Cava to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
021V08Q,"Bypass Superior Vena Cava to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
021V08R,"Bypass Superior Vena Cava to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
021V08S,"Bypass Superior Vena Cava to Right Pulmonary Vein with Zooplastic Tissue, Open Approach"
021V08T,"Bypass Superior Vena Cava to Left Pulmonary Vein with Zooplastic Tissue, Open Approach"
021V08U,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Zooplastic Tissue, Open Approach"
021V09P,"Bypass Superior Vena Cava to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
021V09Q,"Bypass Superior Vena Cava to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
021V09R,"Bypass Superior Vena Cava to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
021V09S,"Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Venous Tissue, Open Approach"
021V09T,"Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Venous Tissue, Open Approach"
021V09U,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Venous Tissue, Open Approach"
021V0AP,"Bypass Superior Vena Cava to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
021V0AQ,"Bypass Superior Vena Cava to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
021V0AR,"Bypass Superior Vena Cava to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
021V0AS,"Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Arterial Tissue, Open Approach"
021V0AT,"Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Arterial Tissue, Open Approach"
021V0AU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Arterial Tissue, Open Approach"
021V0JP,"Bypass Superior Vena Cava to Pulmonary Trunk with Synthetic Substitute, Open Approach"
021V0JQ,"Bypass Superior Vena Cava to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
021V0JR,"Bypass Superior Vena Cava to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
021V0JS,"Bypass Superior Vena Cava to Right Pulmonary Vein with Synthetic Substitute, Open Approach"
021V0JT,"Bypass Superior Vena Cava to Left Pulmonary Vein with Synthetic Substitute, Open Approach"
021V0JU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Synthetic Substitute, Open Approach"
021V0KP,"Bypass Superior Vena Cava to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
021V0KQ,"Bypass Superior Vena Cava to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
021V0KR,"Bypass Superior Vena Cava to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
021V0KS,"Bypass Superior Vena Cava to Right Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach"
021V0KT,"Bypass Superior Vena Cava to Left Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach"
021V0KU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Open Approach"
021V0ZP,"Bypass Superior Vena Cava to Pulmonary Trunk, Open Approach"
021V0ZQ,"Bypass Superior Vena Cava to Right Pulmonary Artery, Open Approach"
021V0ZR,"Bypass Superior Vena Cava to Left Pulmonary Artery, Open Approach"
021V0ZS,"Bypass Superior Vena Cava to Right Pulmonary Vein, Open Approach"
021V0ZT,"Bypass Superior Vena Cava to Left Pulmonary Vein, Open Approach"
021V0ZU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence, Open Approach"
021V48P,"Bypass Superior Vena Cava to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021V48Q,"Bypass Superior Vena Cava to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021V48R,"Bypass Superior Vena Cava to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021V48S,"Bypass Superior Vena Cava to Right Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021V48T,"Bypass Superior Vena Cava to Left Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021V48U,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021V49P,"Bypass Superior Vena Cava to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021V49Q,"Bypass Superior Vena Cava to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021V49R,"Bypass Superior Vena Cava to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021V49S,"Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021V49T,"Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021V49U,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021V4AP,"Bypass Superior Vena Cava to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021V4AQ,"Bypass Superior Vena Cava to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021V4AR,"Bypass Superior Vena Cava to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021V4AS,"Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021V4AT,"Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021V4AU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021V4JP,"Bypass Superior Vena Cava to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
021V4JQ,"Bypass Superior Vena Cava to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021V4JR,"Bypass Superior Vena Cava to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021V4JS,"Bypass Superior Vena Cava to Right Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
021V4JT,"Bypass Superior Vena Cava to Left Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
021V4JU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Synthetic Substitute, Percutaneous Endoscopic Approach"
021V4KP,"Bypass Superior Vena Cava to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021V4KQ,"Bypass Superior Vena Cava to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021V4KR,"Bypass Superior Vena Cava to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021V4KS,"Bypass Superior Vena Cava to Right Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021V4KT,"Bypass Superior Vena Cava to Left Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021V4KU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021V4ZP,"Bypass Superior Vena Cava to Pulmonary Trunk, Percutaneous Endoscopic Approach"
021V4ZQ,"Bypass Superior Vena Cava to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
021V4ZR,"Bypass Superior Vena Cava to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
021V4ZS,"Bypass Superior Vena Cava to Right Pulmonary Vein, Percutaneous Endoscopic Approach"
021V4ZT,"Bypass Superior Vena Cava to Left Pulmonary Vein, Percutaneous Endoscopic Approach"
021V4ZU,"Bypass Superior Vena Cava to Pulmonary Vein Confluence, Percutaneous Endoscopic Approach"
021W08A,"Bypass Thoracic Aorta, Descending to Innominate Artery with Zooplastic Tissue, Open Approach"
021W08B,"Bypass Thoracic Aorta, Descending to Subclavian with Zooplastic Tissue, Open Approach"
021W08D,"Bypass Thoracic Aorta, Descending to Carotid with Zooplastic Tissue, Open Approach"
021W08F,"Bypass Thoracic Aorta, Descending to Abdominal Artery with Zooplastic Tissue, Open Approach"
021W08G,"Bypass Thoracic Aorta, Descending to Axillary Artery with Zooplastic Tissue, Open Approach"
021W08H,"Bypass Thoracic Aorta, Descending to Brachial Artery with Zooplastic Tissue, Open Approach"
021W08P,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Zooplastic Tissue, Open Approach"
021W08Q,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Zooplastic Tissue, Open Approach"
021W08R,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Zooplastic Tissue, Open Approach"
021W08V,"Bypass Thoracic Aorta, Descending to Lower Extremity Artery with Zooplastic Tissue, Open Approach"
021W09A,"Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Venous Tissue, Open Approach"
021W09B,"Bypass Thoracic Aorta, Descending to Subclavian with Autologous Venous Tissue, Open Approach"
021W09D,"Bypass Thoracic Aorta, Descending to Carotid with Autologous Venous Tissue, Open Approach"
021W09F,"Bypass Thoracic Aorta, Descending to Abdominal Artery with Autologous Venous Tissue, Open Approach"
021W09G,"Bypass Thoracic Aorta, Descending to Axillary Artery with Autologous Venous Tissue, Open Approach"
021W09H,"Bypass Thoracic Aorta, Descending to Brachial Artery with Autologous Venous Tissue, Open Approach"
021W09P,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Autologous Venous Tissue, Open Approach"
021W09Q,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach"
021W09R,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach"
021W09V,"Bypass Thoracic Aorta, Descending to Lower Extremity Artery with Autologous Venous Tissue, Open Approach"
021W0AA,"Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Arterial Tissue, Open Approach"
021W0AB,"Bypass Thoracic Aorta, Descending to Subclavian with Autologous Arterial Tissue, Open Approach"
021W0AD,"Bypass Thoracic Aorta, Descending to Carotid with Autologous Arterial Tissue, Open Approach"
021W0AF,"Bypass Thoracic Aorta, Descending to Abdominal Artery with Autologous Arterial Tissue, Open Approach"
021W0AG,"Bypass Thoracic Aorta, Descending to Axillary Artery with Autologous Arterial Tissue, Open Approach"
021W0AH,"Bypass Thoracic Aorta, Descending to Brachial Artery with Autologous Arterial Tissue, Open Approach"
021W0AP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach"
021W0AQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
021W0AR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach"
021W0AV,"Bypass Thoracic Aorta, Descending to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach"
021W0JA,"Bypass Thoracic Aorta, Descending to Innominate Artery with Synthetic Substitute, Open Approach"
021W0JB,"Bypass Thoracic Aorta, Descending to Subclavian with Synthetic Substitute, Open Approach"
021W0JD,"Bypass Thoracic Aorta, Descending to Carotid with Synthetic Substitute, Open Approach"
021W0JF,"Bypass Thoracic Aorta, Descending to Abdominal Artery with Synthetic Substitute, Open Approach"
021W0JG,"Bypass Thoracic Aorta, Descending to Axillary Artery with Synthetic Substitute, Open Approach"
021W0JH,"Bypass Thoracic Aorta, Descending to Brachial Artery with Synthetic Substitute, Open Approach"
021W0JP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Synthetic Substitute, Open Approach"
021W0JQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Synthetic Substitute, Open Approach"
021W0JR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Synthetic Substitute, Open Approach"
021W0JV,"Bypass Thoracic Aorta, Descending to Lower Extremity Artery with Synthetic Substitute, Open Approach"
021W0KA,"Bypass Thoracic Aorta, Descending to Innominate Artery with Nonautologous Tissue Substitute, Open Approach"
021W0KB,"Bypass Thoracic Aorta, Descending to Subclavian with Nonautologous Tissue Substitute, Open Approach"
021W0KD,"Bypass Thoracic Aorta, Descending to Carotid with Nonautologous Tissue Substitute, Open Approach"
021W0KF,"Bypass Thoracic Aorta, Descending to Abdominal Artery with Nonautologous Tissue Substitute, Open Approach"
021W0KG,"Bypass Thoracic Aorta, Descending to Axillary Artery with Nonautologous Tissue Substitute, Open Approach"
021W0KH,"Bypass Thoracic Aorta, Descending to Brachial Artery with Nonautologous Tissue Substitute, Open Approach"
021W0KP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
021W0KQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
021W0KR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
021W0KV,"Bypass Thoracic Aorta, Descending to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach"
021W0ZA,"Bypass Thoracic Aorta, Descending to Innominate Artery, Open Approach"
021W0ZB,"Bypass Thoracic Aorta, Descending to Subclavian, Open Approach"
021W0ZD,"Bypass Thoracic Aorta, Descending to Carotid, Open Approach"
021W0ZP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk, Open Approach"
021W0ZQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery, Open Approach"
021W0ZR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery, Open Approach"
021W48A,"Bypass Thoracic Aorta, Descending to Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021W48B,"Bypass Thoracic Aorta, Descending to Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021W48D,"Bypass Thoracic Aorta, Descending to Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021W48P,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021W48Q,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021W48R,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021W49A,"Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021W49B,"Bypass Thoracic Aorta, Descending to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021W49D,"Bypass Thoracic Aorta, Descending to Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021W49P,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021W49Q,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021W49R,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021W4AA,"Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021W4AB,"Bypass Thoracic Aorta, Descending to Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021W4AD,"Bypass Thoracic Aorta, Descending to Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021W4AP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021W4AQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021W4AR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
021W4JA,"Bypass Thoracic Aorta, Descending to Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021W4JB,"Bypass Thoracic Aorta, Descending to Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach"
021W4JD,"Bypass Thoracic Aorta, Descending to Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach"
021W4JP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach"
021W4JQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021W4JR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
021W4KA,"Bypass Thoracic Aorta, Descending to Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021W4KB,"Bypass Thoracic Aorta, Descending to Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021W4KD,"Bypass Thoracic Aorta, Descending to Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021W4KP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021W4KQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021W4KR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
021W4ZA,"Bypass Thoracic Aorta, Descending to Innominate Artery, Percutaneous Endoscopic Approach"
021W4ZB,"Bypass Thoracic Aorta, Descending to Subclavian, Percutaneous Endoscopic Approach"
021W4ZD,"Bypass Thoracic Aorta, Descending to Carotid, Percutaneous Endoscopic Approach"
021W4ZP,"Bypass Thoracic Aorta, Descending to Pulmonary Trunk, Percutaneous Endoscopic Approach"
021W4ZQ,"Bypass Thoracic Aorta, Descending to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
021W4ZR,"Bypass Thoracic Aorta, Descending to Left Pulmonary Artery, Percutaneous Endoscopic Approach"
021X08A,"Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Zooplastic Tissue, Open Approach"
021X08B,"Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Zooplastic Tissue, Open Approach"
